Age,Gender,Introversion.Score,Sensing.Score,Thinking.Score,Judging.Score,Interest,Personality,IE
29,Female,2.17311,7.265703696,5.34311,1.27276817,Others,ISFP,I
22,Male,2.08334,6.351842813,6.96499,6.062715376,Unknown,INTJ,I
26,Male,4.06249,6.931876569,9.39207,5.595066895,Sports,ISTJ,I
27,Male,7.92811,6.413094476,8.47101,3.615878719,Arts,ESTP,E
27,Male,4.15037,6.178304752,5.6092,3.598736689,Arts,ESTP,E
25,Male,1.34839,6.786648697,8.94313,8.116667074,Arts,ISTJ,I
21,Female,1.01453,6.257478707,5.63206,6.33534574,Unknown,INTJ,I
35,Female,8.37643,5.248117841,2.40756,0.635401412,Unknown,ENFP,E
30,Female,0.3063,6.117933363,3.4304,7.666399471,Unknown,ISFJ,I
29,Male,7.02059,5.613968626,3.93513,6.185838481,Others,ENFJ,E
23,Male,7.70007,6.965214087,3.31106,6.974176898,Unknown,ESFP,E
32,Female,4.91952,4.461427087,9.81772,6.971123273,Arts,ENTJ,E
27,Male,8.45947,6.499580293,8.7322,6.703065118,Technology,ESTJ,E
19,Male,6.85211,5.948523132,1.11213,6.058186517,Arts,ENFJ,E
28,Male,6.86889,6.902751356,6.46665,6.07393405,Unknown,ESFJ,E
27,Female,2.91379,6.781863032,2.72544,6.595188632,Others,ISFJ,I
38,Female,2.52432,6.378945976,5.96302,5.150232797,Unknown,ISTP,I
39,Male,0.67977,5.42506297,4.34549,5.711193626,Unknown,INFP,I
32,Male,7.21515,6.560580216,3.09305,6.244097171,Unknown,ESFJ,E
30,Male,8.23301,4.423068314,5.14207,4.479600164,Unknown,ENFP,E
21,Female,0.19625,5.620894979,8.36486,6.931490948,Arts,INTJ,I
37,Male,4.70054,6.532540293,8.5823,6.291604295,Unknown,ISTJ,I
32,Female,5.92122,6.618311068,5.08065,6.734079916,Others,ESFJ,E
23,Female,2.74738,4.766039615,2.29969,6.373143815,Unknown,INFJ,I
31,Male,1.15942,6.218161868,5.92687,5.497659314,Unknown,ISFP,I
23,Female,2.15454,2.610566349,2.60756,7.408011187,Unknown,INFJ,I
24,Female,3.55903,6.383658762,9.15162,6.825773971,Arts,ISTJ,I
34,Male,5.16486,8.18760793,8.44889,7.164164416,Others,ISTP,I
27,Male,2.11264,7.669233322,9.60017,1.238549594,Others,ISTP,I
29,Male,5.16451,6.82143857,2.97256,6.077966209,Technology,ESFJ,E
24,Female,0.65635,5.907827847,1.98582,2.791932329,Unknown,INFP,I
19,Female,2.58368,4.373825935,0.998,5.239673436,Sports,INFJ,I
25,Male,4.75981,6.896058705,4.21286,4.245033187,Technology,ESFP,E
27,Male,3.02666,6.540446144,7.83388,6.015351609,Technology,ISTJ,I
30,Male,1.85557,6.34403695,9.02147,6.564052048,Arts,ISTJ,I
31,Female,2.0075,6.103104527,9.72504,4.698938947,Unknown,ISTP,I
33,Female,6.01427,6.94359149,5.27183,6.91215345,Technology,ESFJ,E
28,Male,1.10086,6.542128429,2.14304,5.920068766,Sports,ISFJ,I
25,Male,7.98309,4.950745277,7.54617,2.192110766,Unknown,ENTP,E
26,Male,2.21428,5.015127382,3.49456,3.21514542,Others,INFP,I
25,Male,7.28864,7.16662169,1.0341,6.528224723,Others,ESFJ,E
30,Male,3.65792,6.12144493,7.66045,4.340860929,Others,ISTP,I
30,Male,9.2355,8.475709149,5.02455,4.175379858,Unknown,ESFP,E
32,Male,9.42229,3.757881724,1.89323,7.29488658,Technology,ENFJ,E
19,Male,9.28937,5.625144012,7.44159,2.60312847,Technology,ENTP,E
33,Female,4.03426,7.632968123,9.98437,5.235222508,Sports,ESTJ,E
21,Male,2.15962,5.80218493,2.57656,4.772424267,Unknown,INFP,I
24,Female,4.91049,6.757289012,6.9842,2.123921003,Sports,ESTP,E
25,Female,9.75755,6.476416601,8.58078,5.569519172,Unknown,ESTP,E
26,Female,4.75912,7.02125423,5.06524,6.006579293,Unknown,ESFJ,E
22,Female,9.1486,6.309654465,7.26503,3.799755296,Unknown,ESTP,E
26,Female,9.30433,3.904408482,3.85104,6.269108133,Technology,ENFJ,E
28,Female,2.98993,7.150789794,6.48411,1.092081466,Unknown,ISTP,I
21,Male,0.24719,5.893470053,9.59251,2.888819295,Arts,INTP,I
25,Male,1.06531,7.473606621,2.4582,3.190399739,Sports,ISFP,I
32,Male,1.10074,6.227225195,3.12392,3.134071325,Technology,ISFP,I
40,Female,8.96424,4.730236466,1.20926,5.879264527,Sports,ENFJ,E
22,Female,3.76062,3.999945811,1.99774,6.434698424,Technology,ENFJ,E
26,Female,7.9678,6.72096751,1.76654,5.304339255,Sports,ESFJ,E
38,Male,8.83472,4.024434056,8.39082,6.428012073,Unknown,ENTJ,E
23,Female,1.22249,3.131608039,9.87078,3.846134505,Sports,INTP,I
36,Female,7.1643,5.683963728,9.72722,3.211755908,Technology,ENTP,E
24,Male,7.11506,7.074976793,6.36873,4.982914218,Technology,ESFP,E
27,Female,2.03677,2.390135204,2.98533,5.238814117,Sports,INFJ,I
22,Male,0.01462,4.41634604,8.1983,6.083781838,Sports,INTJ,I
33,Female,7.7433,7.086778689,6.53077,4.829013634,Unknown,ESTP,E
27,Male,3.26649,6.35469883,3.32895,4.903398507,Arts,ISFP,I
27,Female,6.8469,6.502873631,6.68549,5.883845136,Sports,ESTJ,E
27,Male,1.4619,6.325033786,9.48022,6.947941946,Unknown,ISTJ,I
20,Female,3.95402,2.125051642,5.58874,5.44369445,Sports,ENTJ,E
31,Female,8.84349,5.367412779,6.19366,4.204638143,Others,ENTP,E
25,Male,7.93322,6.174430744,7.21895,6.35411156,Others,ESTJ,E
26,Male,1.64867,6.926917682,4.4481,7.481830837,Unknown,ISFJ,I
31,Male,1.1307,7.015069263,9.64977,6.091018173,Arts,ISTJ,I
23,Female,5.89543,6.24686,6.45875,7.606612965,Arts,ESTJ,E
23,Male,5.88802,7.652350505,8.75555,6.188041417,Unknown,ESTJ,E
25,Male,6.64465,6.219013065,3.36279,6.848067333,Unknown,ESFJ,E
25,Female,8.18904,6.119191282,2.18851,6.464025655,Sports,ESFJ,E
34,Female,6.65063,5.296845664,4.20038,4.430139616,Unknown,ENFP,E
28,Female,6.58519,6.879968474,1.18138,7.732039121,Unknown,ESFJ,E
24,Male,3.3556,7.411048789,2.34955,6.073088305,Unknown,ISFJ,I
28,Female,6.28973,6.975376561,1.06355,6.268518947,Arts,ESFJ,E
23,Female,8.76887,3.197741442,5.22818,2.768163737,Others,ENFP,E
29,Female,3.24692,6.12479856,8.87026,6.220107084,Others,ESTJ,E
22,Female,2.89709,5.980222733,5.37174,5.900718714,Arts,INTP,I
29,Female,9.96971,6.379398262,0.28127,5.703368961,Technology,ESFP,E
35,Female,2.88682,6.113709141,8.07534,3.648673615,Unknown,ISTP,I
27,Male,0.68642,5.47422273,8.03479,6.198320897,Others,INTP,I
26,Male,3.22727,6.470465374,7.36448,6.827541873,Unknown,ISTJ,I
25,Female,4.73115,4.07624074,1.3287,6.312402418,Unknown,ENFJ,E
34,Male,8.11649,2.824578035,1.01524,6.047270517,Unknown,ENFJ,E
32,Female,6.24896,6.126281612,1.9878,6.048088901,Unknown,ESFJ,E
30,Female,0.81681,6.270625812,8.33925,4.715520516,Unknown,ISTP,I
28,Male,3.70724,5.564502433,2.68551,3.74227971,Unknown,INFP,I
25,Male,7.91951,6.257508929,9.64818,7.371340728,Unknown,ESTJ,E
28,Male,1.32308,6.304602155,8.94751,4.19679821,Others,ISTP,I
37,Female,4.27862,6.337139885,2.17312,6.279920509,Unknown,ISFJ,I
23,Female,8.40605,2.728607683,0.7788,5.529398074,Technology,ENFP,E
30,Female,3.38693,6.393024776,1.31916,4.467894348,Unknown,ESFP,E
24,Male,3.82171,6.565186389,1.31183,5.622817915,Unknown,ISFP,I
29,Male,0.38731,4.389344983,1.20066,6.219931514,Sports,INFJ,I
21,Male,8.34346,5.795107686,7.11001,5.266181742,Sports,ENTJ,E
27,Male,4.69138,6.25962016,5.72433,5.071622616,Others,ESFP,E
21,Female,6.3475,2.307961713,6.62136,3.844643694,Technology,ENTP,E
35,Male,2.04194,7.61454682,0.36823,7.124494579,Technology,ISFJ,I
29,Male,3.93265,6.20356022,9.95964,2.865691209,Others,ISTP,I
26,Male,1.46213,4.037658247,4.49105,6.175263277,Others,INFJ,I
27,Female,0.52496,4.229183934,6.14274,6.852643454,Arts,INTP,I
30,Male,7.91631,4.29471098,7.3643,7.070209477,Others,ENTJ,E
26,Male,0.15344,5.598901935,6.6625,5.350746265,Sports,INTP,I
26,Male,0.84761,6.000138858,1.96222,5.830748146,Others,INFP,I
26,Male,2.18559,3.343034985,8.44164,2.315929873,Others,INTP,I
27,Male,6.58417,4.025647583,7.84064,4.668737047,Arts,ENTP,E
22,Male,3.76127,3.238854756,9.48575,6.146454816,Arts,INTJ,I
23,Male,8.62059,6.026249672,9.67799,3.79077722,Others,ENTP,E
37,Male,5.42602,4.267024887,7.25648,7.266524954,Unknown,INTJ,I
26,Female,2.02416,6.67537631,0.10546,2.912680355,Unknown,ISFP,I
27,Male,9.12654,4.325433285,4.51215,2.923909163,Unknown,ENFP,E
27,Male,1.4669,4.446392783,4.41024,5.120200343,Technology,INFP,I
27,Female,6.70079,6.052084973,0.90689,6.007346862,Others,ENFJ,E
25,Male,4.61771,3.993928769,0.89967,4.403338316,Unknown,ENFP,E
23,Male,5.78899,8.052481789,7.88552,5.232443325,Others,ESTP,E
24,Male,2.72889,4.36016983,4.39358,5.069314449,Technology,INFP,I
25,Male,6.67045,4.848092231,9.19419,5.412714582,Technology,ENTP,E
29,Female,6.01083,4.116478009,0.14597,5.800805298,Unknown,ENFP,E
28,Male,8.69608,6.476783289,8.803,6.868467134,Others,ESTJ,E
33,Female,9.3009,2.397693367,2.63439,7.77177982,Unknown,ENFJ,E
28,Female,2.90433,7.896891519,0.95383,6.260466612,Unknown,ESFJ,E
28,Male,9.94734,6.138530362,8.13075,4.049213316,Sports,ESTP,E
26,Male,8.0933,4.532062585,8.14412,4.807690844,Unknown,ENTP,E
29,Male,0.17617,7.119573623,4.47774,5.849622342,Technology,ISFP,I
25,Male,1.48385,3.971739615,1.62722,6.143792431,Technology,INFJ,I
24,Female,2.84671,3.952084301,7.50182,6.108737532,Unknown,INTJ,I
26,Female,2.58475,7.243202704,1.27089,6.499838669,Sports,ISFP,I
24,Female,5.08853,7.563423176,5.88274,3.572834977,Technology,ESTP,E
19,Male,1.81161,5.411358639,6.64753,5.037131693,Sports,INTJ,I
22,Male,6.40519,3.153712076,7.25405,5.242331742,Unknown,ENTP,E
26,Female,3.95895,6.170657503,9.47047,7.064192824,Unknown,ISTJ,I
29,Male,7.95625,6.612545685,2.01645,1.553980898,Unknown,ESFP,E
31,Male,7.10069,4.750902915,9.26769,5.17303418,Arts,ENTP,E
21,Male,8.58353,3.69134184,9.99265,6.549324416,Sports,ENTJ,E
29,Female,4.60628,6.883531948,6.49975,5.165977963,Technology,ESTP,E
27,Male,5.1459,6.257922707,1.99359,5.089300227,Arts,ISFP,I
30,Male,4.24382,6.666396316,5.16114,6.044195359,Others,ISFJ,I
35,Female,0.47187,6.265210907,9.42399,7.233594507,Arts,ISTJ,I
21,Male,0.32796,5.022379891,6.86796,5.241199691,Unknown,INTP,I
29,Male,7.39227,6.587711996,9.69927,4.405092019,Technology,ESTP,E
30,Male,1.7595,6.365704648,1.96762,5.615622049,Unknown,ISFP,I
23,Female,9.36933,4.005714648,2.61205,4.922243893,Arts,ENFP,E
30,Female,3.39292,6.112467477,0.18945,6.406563118,Arts,ISFJ,I
28,Male,6.09255,6.312129069,9.65264,5.191074754,Unknown,ESTP,E
33,Female,6.27159,6.545274099,3.13806,3.393903132,Others,ESFP,E
32,Female,5.62521,5.439554983,8.68874,6.462817495,Technology,ENTJ,E
27,Male,6.74783,6.581112666,3.64324,7.306934305,Unknown,ESFJ,E
21,Male,5.89672,6.214405197,8.77065,4.958256884,Unknown,ENTP,E
28,Female,1.3147,6.267824266,5.90504,6.601970023,Unknown,ISTP,I
33,Male,9.10589,7.52651322,6.62607,6.464975168,Others,ESTJ,E
31,Female,1.64529,6.04644099,7.58235,6.393596403,Unknown,INTJ,I
32,Female,6.11016,7.624174405,9.56299,2.484023001,Unknown,ESTP,E
32,Female,8.99341,3.457364132,9.0471,5.850799453,Unknown,ENTP,E
29,Female,1.21233,6.841461727,1.31912,2.82661269,Sports,ISFP,I
30,Male,1.9195,6.393774057,0.9099,3.611122155,Unknown,ISFP,I
27,Female,6.3288,7.092955761,9.45861,6.294008733,Arts,ESTJ,E
23,Female,1.9134,5.841932097,8.48688,4.347453977,Sports,INTP,I
38,Female,1.18546,6.168951953,7.74117,5.82980131,Unknown,ISTP,I
21,Male,5.45721,4.362271715,0.48721,4.964245999,Arts,ENFP,E
27,Female,1.93189,6.138959467,2.47415,3.075202318,Sports,ISFP,I
22,Female,3.20621,1.210491559,3.34415,6.821160065,Unknown,INFJ,I
23,Female,0.72679,4.743874034,2.3955,4.374971586,Arts,INFP,I
31,Female,4.26692,6.454796436,2.18922,6.076949925,Unknown,ISFJ,I
24,Male,1.39643,6.429158784,5.71866,5.298717971,Unknown,ISFP,I
28,Male,9.58311,3.947260778,8.87722,7.28375332,Technology,ENTJ,E
26,Female,1.318,6.517373241,0.01186,5.36561275,Arts,ISFP,I
32,Male,4.55774,5.249185198,4.7048,2.47498086,Technology,INFP,I
22,Male,4.18171,6.815243711,5.76266,0,Others,ISFP,I
22,Female,4.89136,6.177230203,3.34292,4.822658209,Sports,ENFP,E
25,Female,1.244,7.571607779,1.96154,5.570167887,Unknown,ISFP,I
29,Female,2.29499,3.506279307,0.95827,4.517253666,Unknown,INFP,I
33,Male,9.6139,6.563103193,3.92948,5.63316975,Arts,ESFP,E
24,Female,1.25192,6.453220822,4.39267,7.617297921,Unknown,ISFJ,I
36,Female,1.53097,6.934362997,7.11672,7.514968978,Arts,ISTJ,I
30,Female,1.09246,4.415154055,7.1463,4.462350091,Unknown,INTP,I
27,Male,2.60443,6.675293809,6.95374,6.948383037,Unknown,ISTJ,I
26,Female,1.27517,6.711013857,6.64185,5.446036047,Sports,ISTJ,I
24,Female,9.31758,5.790130606,1.71303,7.733544085,Unknown,ENFJ,E
23,Female,7.38826,5.594126287,7.03692,6.24463141,Others,ENTJ,E
28,Male,8.82022,6.969130024,5.08572,6.239199114,Arts,ESFJ,E
20,Male,2.20473,5.949788055,0.96824,2.489237409,Unknown,INFP,I
25,Male,2.96877,3.601481318,4.50395,6.207302014,Others,INFJ,I
30,Male,4.06474,6.587303382,4.11685,6.356337122,Sports,ISFJ,I
28,Female,3.78911,6.268452357,8.56358,6.416557008,Unknown,ESTJ,E
30,Female,6.56055,6.696228733,7.31793,6.180642543,Others,ESTJ,E
28,Male,0.45432,6.528185514,5.47674,1.024865076,Unknown,ISFP,I
31,Female,3.81903,7.08024903,6.90421,4.651777075,Sports,ISTP,I
25,Female,6.09143,6.450687459,6.84808,2.930925132,Arts,ESTP,E
19,Female,3.6298,5.520257394,4.2138,2.263302291,Unknown,INFP,I
30,Male,1.86319,5.584255769,4.1006,3.147422022,Unknown,INFP,I
31,Female,7.48634,6.24580512,4.38689,3.725585765,Arts,ESFP,E
25,Male,9.81987,3.956018921,9.73523,5.984395259,Sports,ENTP,E
20,Male,4.06452,4.621016459,9.3449,5.061117066,Sports,INTJ,I
27,Male,0.25993,7.043832742,0.66792,6.210295661,Technology,ISFJ,I
23,Male,1.50823,4.690150042,9.7353,6.692650228,Unknown,INTJ,I
23,Female,1.94294,7.378116561,3.11541,6.698401734,Sports,ISFJ,I
30,Male,1.09213,6.1767065,5.62144,5.652241608,Sports,ISFJ,I
23,Female,7.85474,5.717438478,9.37596,5.998331843,Others,ENTP,E
33,Male,6.97325,6.25238814,5.01292,5.960679719,Others,ESFP,E
21,Female,9.6585,4.321549245,6.00857,4.292423099,Unknown,ENTP,E
25,Female,1.66461,6.804563056,4.18947,7.001945769,Arts,ISFJ,I
21,Female,2.4255,4.705055646,7.98807,6.756850211,Unknown,INTJ,I
26,Male,8.1469,5.601478214,0.64738,7.990533994,Others,ENFJ,E
30,Male,6.66866,5.162908842,9.52323,6.377136449,Technology,ENTJ,E
23,Male,8.37436,6.367173376,6.09573,2.810223683,Sports,ESFP,E
31,Male,1.02075,6.347537991,9.84763,4.195562973,Unknown,ISTP,I
32,Male,0.8559,7.277923683,7.22556,7.646359969,Unknown,ISTJ,I
27,Male,6.86016,7.056517832,8.80654,4.173397823,Unknown,ESTP,E
39,Male,2.7997,6.634609237,1.47124,5.461454245,Unknown,ISFP,I
45,Female,9.68401,6.699288734,7.12866,6.405828998,Arts,ESTJ,E
33,Male,7.03043,6.832856876,4.14911,5.273211252,Technology,ESFP,E
24,Male,4.47523,6.141900387,2.07866,5.473790487,Unknown,ISFP,I
26,Male,8.77186,7.576769447,7.14785,6.847533509,Arts,ESTJ,E
27,Male,9.61117,6.269440896,7.54379,6.332016431,Unknown,ESTJ,E
24,Female,3.18151,6.159758652,1.77926,6.369842756,Sports,ESFJ,E
30,Male,1.02898,7.447915773,3.89323,2.592951094,Unknown,ISFP,I
29,Male,0.53525,4.499177709,4.15895,5.075902081,Unknown,INFP,I
34,Male,4.15392,6.695302109,6.66369,5.784893743,Unknown,ISTP,I
28,Female,1.30962,5.96581905,3.39397,4.67894684,Sports,INFP,I
29,Male,2.76646,6.239567387,1.637,4.203309945,Others,ISFP,I
25,Male,7.69775,6.031855875,0.02701,2.938788194,Others,ENFP,E
18,Male,3.36795,3.051512762,6.46783,6.338432524,Unknown,INFJ,I
28,Male,2.8627,6.270571124,7.66533,4.251232845,Unknown,ISTP,I
27,Female,0.78042,4.23916263,6.32246,6.217225628,Unknown,INTJ,I
36,Female,1.53097,6.934362997,7.11672,7.514968978,Arts,ISTJ,I
30,Male,5.76368,5.479654183,7.48887,6.14251066,Arts,ENTP,E
33,Male,4.51071,6.414063191,4.06956,4.269730962,Others,ISFP,I
34,Female,2.30775,4.776521337,6.22263,4.492826308,Others,INTP,I
25,Female,7.82574,4.013555832,0.83085,3.466658433,Unknown,ENFP,E
24,Male,2.23125,6.136329993,2.36599,6.270279976,Unknown,ISFJ,I
25,Male,8.72398,6.508465206,7.00246,5.475160683,Arts,ESTP,E
24,Male,3.38987,4.499199014,8.25612,6.349521042,Unknown,INTJ,I
25,Female,6.78499,4.561651464,8.8213,3.203875596,Others,ENTP,E
36,Female,8.88224,6.958747871,0.48416,6.046678646,Others,ESFJ,E
37,Male,9.10959,6.015055118,4.11764,4.03924807,Technology,ENFP,E
31,Female,3.07557,6.460975424,8.71414,4.600903684,Unknown,ISTP,I
25,Female,9.33047,6.954326759,2.95132,2.868185644,Technology,ESFP,E
29,Female,4.39401,4.369962167,8.56061,3.786316565,Technology,INTP,I
23,Male,9.62467,6.674645776,7.11288,7.10865242,Unknown,ESTJ,E
25,Female,5.99776,6.657186719,3.06335,6.536515646,Sports,ESFJ,E
36,Male,9.01333,6.219204877,9.14301,5.859836474,Sports,ESTJ,E
28,Female,9.66809,6.184165678,7.31637,4.462393066,Arts,ESTP,E
34,Male,9.945,6.110550455,8.51854,6.119281987,Arts,ESTJ,E
32,Male,3.2177,5.627849635,5.36374,6.474861001,Technology,INFJ,I
20,Female,3.27577,5.277120139,1.45255,6.455153145,Technology,INFJ,I
27,Female,7.19716,4.977300594,7.78451,3.190894652,Unknown,ENTP,E
22,Male,7.92869,5.676795429,8.08287,6.013486254,Others,ENTJ,E
29,Male,3.27323,6.686645682,8.30295,6.186161579,Sports,ISTJ,I
24,Female,6.41724,6.570766212,1.27692,4.842417117,Unknown,ESFP,E
41,Male,4.60019,6.178689248,8.69144,6.248192038,Arts,ESTJ,E
24,Male,1.84252,3.365314767,8.81988,4.685872165,Unknown,INTP,I
28,Male,9.71614,1.322500546,0.22266,5.055793183,Sports,ENFJ,E
27,Male,9.34338,6.031377459,1.82825,7.262382135,Technology,ENFJ,E
22,Female,6.2765,4.43621447,7.95285,6.729880272,Technology,ENTJ,E
34,Male,1.33809,5.130374795,0.85452,6.321860734,Unknown,INFJ,I
28,Female,9.598,6.637089267,8.72401,5.864464236,Sports,ESTJ,E
25,Male,4.74511,5.09342237,2.13984,6.122276449,Arts,INFJ,I
